"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"21 years"	"21"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	10	37530	Unreliable
	"Arizona"	"04"	"23 years"	"23"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11	37981	Unreliable
	"Arizona"	"04"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	10	39498	Unreliable
	"Arizona"	"04"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11	37339	Unreliable
	"Arizona"	"04"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	12	37754	Unreliable
	"Arizona"	"04"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	10	35636	Unreliable
	"Arizona"	"04"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	14	38204	Unreliable
	"Arizona"	"04"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	10	36662	Unreliable
	"Arizona"	"04"	"31 years"	"31"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	12	34788	Unreliable
	"Arizona"	"04"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	10	33646	Unreliable
	"Arizona"	"04"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	35514	Unreliable
	"Arizona"	"04"	"35 years"	"35"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	13	38199	Unreliable
	"Arizona"	"04"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	38383	Unreliable
	"Arizona"	"04"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	13	35475	Unreliable
	"Arizona"	"04"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	11	38257	Unreliable
	"Arizona"	"04"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	10	37407	Unreliable
	"Arizona"	"04"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	12	36662	Unreliable
	"Arizona"	"04"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	11	35710	Unreliable
	"Arizona"	"04"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12	37392	Unreliable
	"Arizona"	"04"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11	34232	Unreliable
	"Arizona"	"04"	"42 years"	"42"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	37116	Unreliable
	"Arizona"	"04"	"43 years"	"43"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	13	36546	Unreliable
	"Arizona"	"04"	"44 years"	"44"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	37373	Unreliable
	"Arizona"	"04"	"45 years"	"45"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	15	37167	Unreliable
	"Arizona"	"04"	"46 years"	"46"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	12	37451	Unreliable
	"Arizona"	"04"	"46 years"	"46"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12	37762	Unreliable
	"Arizona"	"04"	"46 years"	"46"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	13	36504	Unreliable
	"Arizona"	"04"	"47 years"	"47"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	11	35852	Unreliable
	"Arizona"	"04"	"47 years"	"47"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	11	37300	Unreliable
	"Arizona"	"04"	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	14	35276	Unreliable
	"Arizona"	"04"	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	13	35495	Unreliable
	"Arizona"	"04"	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	11	38227	Unreliable
	"Arizona"	"04"	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	13	37022	Unreliable
	"Arizona"	"04"	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	18	37778	Unreliable
	"Arizona"	"04"	"48 years"	"48"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	10	37532	Unreliable
	"Arizona"	"04"	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	12	34136	Unreliable
	"Arizona"	"04"	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	35528	Unreliable
	"Arizona"	"04"	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	10	35413	Unreliable
	"Arizona"	"04"	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11	37945	Unreliable
	"Arizona"	"04"	"49 years"	"49"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	11	34190	Unreliable
	"Arizona"	"04"	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	11	33412	Unreliable
	"Arizona"	"04"	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	13	36165	Unreliable
	"Arizona"	"04"	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11	35893	Unreliable
	"Arizona"	"04"	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	11	38405	Unreliable
	"Arizona"	"04"	"50 years"	"50"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	10	37464	Unreliable
	"Arizona"	"04"	"50 years"	"50"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	11	37052	Unreliable
	"Arizona"	"04"	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12	33809	Unreliable
	"Arizona"	"04"	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	15	34963	Unreliable
	"Arizona"	"04"	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	35965	Unreliable
	"Arizona"	"04"	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	34300	Unreliable
	"Arizona"	"04"	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	10	34359	Unreliable
	"Arizona"	"04"	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	35464	Unreliable
	"Arizona"	"04"	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	14	36322	Unreliable
	"Arizona"	"04"	"52 years"	"52"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	10	37038	Unreliable
	"Arizona"	"04"	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	13	34304	Unreliable
	"Arizona"	"04"	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	10	35090	Unreliable
	"Arizona"	"04"	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	13	36329	Unreliable
	"Arizona"	"04"	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	34760	Unreliable
	"Arizona"	"04"	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	16	34446	Unreliable
	"Arizona"	"04"	"54 years"	"54"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	12	36192	Unreliable
	"Arizona"	"04"	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	30550	Unreliable
