"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	10	22726	Unreliable
	"Alabama"	"01"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	14	20246	Unreliable
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	12	19866	Unreliable
	"Alabama"	"01"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	10	19726	Unreliable
	"Alabama"	"01"	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	11	24234	Unreliable
	"Arizona"	"04"	"18 years"	"18"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	11	39723	Unreliable
	"Arizona"	"04"	"19 years"	"19"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	16	39500	Unreliable
	"Arizona"	"04"	"19 years"	"19"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	16	40929	Unreliable
	"Arizona"	"04"	"20 years"	"20"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	25	39238	63.7
	"Arizona"	"04"	"20 years"	"20"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	20	39266	50.9
	"Arizona"	"04"	"21 years"	"21"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	19	39748	Unreliable
	"Arizona"	"04"	"21 years"	"21"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	29	40112	72.3
	"Arizona"	"04"	"22 years"	"22"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	12	40066	Unreliable
	"Arizona"	"04"	"22 years"	"22"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	17	40256	Unreliable
	"Arizona"	"04"	"23 years"	"23"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	13	38206	Unreliable
	"Arizona"	"04"	"23 years"	"23"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	13	41062	Unreliable
	"Arizona"	"04"	"23 years"	"23"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	15	40846	Unreliable
	"Arizona"	"04"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	19	41326	Unreliable
	"Arizona"	"04"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	26	41153	63.2
	"Arizona"	"04"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	21	42022	50.0
	"Arizona"	"04"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	26	41905	62.0
	"Arizona"	"04"	"26 years"	"26"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	13	39647	Unreliable
	"Arizona"	"04"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	17	42639	Unreliable
	"Arizona"	"04"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	22	42333	52.0
	"Arizona"	"04"	"27 years"	"27"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	22	43617	50.4
	"Arizona"	"04"	"27 years"	"27"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	32	43111	74.2
	"Arizona"	"04"	"28 years"	"28"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	12	43004	Unreliable
	"Arizona"	"04"	"28 years"	"28"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	27	44000	61.4
	"Arizona"	"04"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	24	40689	59.0
	"Arizona"	"04"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	27	43582	62.0
	"Arizona"	"04"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	21	39547	53.1
	"Arizona"	"04"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	26	41021	63.4
	"Arizona"	"04"	"31 years"	"31"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	18	38324	Unreliable
	"Arizona"	"04"	"31 years"	"31"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	32	39724	80.6
	"Arizona"	"04"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	15	38935	Unreliable
	"Arizona"	"04"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	20	38676	51.7
	"Arizona"	"04"	"33 years"	"33"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	11	36318	Unreliable
	"Arizona"	"04"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	17	38585	Unreliable
	"Arizona"	"04"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	22	39183	56.1
	"Arizona"	"04"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	15	37585	Unreliable
	"Arizona"	"04"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	12	39031	Unreliable
	"Arizona"	"04"	"35 years"	"35"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	18	38305	Unreliable
	"Arizona"	"04"	"35 years"	"35"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	27	37834	71.4
	"Arizona"	"04"	"36 years"	"36"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	10	36442	Unreliable
	"Arizona"	"04"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	25	38452	65.0
	"Arizona"	"04"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	26	38538	67.5
