"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2018"	"2018"	0	235	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2019"	"2019"	0	241	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2020"	"2020"	0	269	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2021"	"2021"	0	228	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2022 "	"2022"	0	143	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Asian"	"A"	"2018"	"2018"	0	369	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Asian"	"A"	"2019"	"2019"	0	386	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Asian"	"A"	"2020"	"2020"	0	440	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Asian"	"A"	"2021"	"2021"	0	377	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Asian"	"A"	"2022 "	"2022"	0	371	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	0	8797	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	0	8706	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2020"	"2020"	0	8801	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2021"	"2021"	0	8638	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2022 "	"2022"	0	8953	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"2018"	"2018"	0	68	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"2019"	"2019"	0	58	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"2020"	"2020"	0	76	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"2021"	"2021"	0	59	Unreliable
