"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	11	24337	Unreliable
	"Arizona"	"04"	"20 years"	"20"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	11	40387	Unreliable
	"Arizona"	"04"	"21 years"	"21"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	12	37919	Unreliable
	"Arizona"	"04"	"22 years"	"22"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	10	37024	Unreliable
	"Arizona"	"04"	"22 years"	"22"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	12	39368	Unreliable
	"Arizona"	"04"	"23 years"	"23"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	14	42465	Unreliable
	"Arizona"	"04"	"23 years"	"23"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	42594	Unreliable
	"Arizona"	"04"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	10	38962	Unreliable
	"Arizona"	"04"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	10	39886	Unreliable
	"Arizona"	"04"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	13	42518	Unreliable
	"Arizona"	"04"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	10	38556	Unreliable
	"Arizona"	"04"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	10	38402	Unreliable
	"Arizona"	"04"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	14	40018	Unreliable
	"Arizona"	"04"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	11	42590	Unreliable
	"Arizona"	"04"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	13	36824	Unreliable
	"Arizona"	"04"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	38494	Unreliable
	"Arizona"	"04"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	10	40223	Unreliable
	"Arizona"	"04"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	14	37933	Unreliable
	"Arizona"	"04"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	10	37288	Unreliable
	"Arizona"	"04"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	13	37719	Unreliable
	"Arizona"	"04"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	12	36953	Unreliable
	"Arizona"	"04"	"31 years"	"31"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	14	38875	Unreliable
	"Arizona"	"04"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	11	37720	Unreliable
	"Arizona"	"04"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	11	37886	Unreliable
	"Arizona"	"04"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	10	35125	Unreliable
	"Arizona"	"04"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	14	38202	Unreliable
	"Arizona"	"04"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	13	37561	Unreliable
