"State","Characteristic","Level","Base Population_2010","Postcensal Population_2010","Postcensal Population_2011","Postcensal Population_2012","Postcensal Population_2013","Postcensal Population_2014","Postcensal Population_2015","Postcensal Population_2016","Postcensal Population_2017","Postcensal Population_2018","Postcensal Population_2019","Postcensal Population_2020"
"Kansas","Sex","Male",1415412,1418145,1424226,1434229,1439885,1445042,1450195,1451334,1450416,1451427,1450555,1451540
"Kentucky","Sex","Female",2204400,2208920,2220604,2227546,2235831,2241404,2246861,2253107,2260311,2265345,2269036,2271906
"Kentucky","Sex","Male",2134930,2139544,2150213,2160319,2171075,2175588,2182265,2187199,2195279,2198928,2203309,2205345
"Louisiana","Sex","Female",2314136,2319925,2336558,2350259,2362258,2372375,2383171,2392011,2390634,2387863,2385969,2381158
"Louisiana","Sex","Male",2219364,2224710,2239686,2251808,2263782,2273563,2283827,2289335,2283039,2276587,2272316,2264160
"Maine","Sex","Female",678302,677943,678007,677831,677601,679271,678342,680027,681559,683920,686674,688840
"Maine","Sex","Male",650052,649708,650466,650263,650942,651946,650756,652321,654184,656203,659096,661301
"Maryland","Sex","Female",2981896,2988816,3013514,3036122,3054346,3072502,3086658,3095485,3106751,3115060,3122480,3123228
"Maryland","Sex","Male",2791891,2799968,2826727,2852253,2870851,2887562,2901870,2911529,2921435,2927093,2932474,2932574
"Massachusetts","Sex","Female",3381087,3390251,3412828,3435460,3460982,3484994,3501089,3515076,3532606,3544419,3548380,3546542
"Massachusetts","Sex","Male",3166701,3176189,3201390,3228809,3254176,3279870,3296395,3312204,3330954,3341301,3346503,3347032
"Michigan","Sex","Female",5035636,5032392,5034506,5038913,5045064,5050975,5048777,5055467,5064544,5068797,5066743,5058742
"Michigan","Sex","Male",4848476,4845205,4848547,4859376,4869738,4881058,4885706,4898650,4912208,4918489,4918052,4907813
"Minnesota","Sex","Female",2671797,2675292,2692147,2706227,2724276,2742170,2755982,2775344,2796520,2815323,2830663,2838748
"Minnesota","Sex","Male",2632136,2635642,2654473,2671273,2690446,2710495,2728020,2750016,2772763,2793439,2809390,2818594
"Mississippi","Sex","Female",1526182,1527379,1531631,1534497,1536846,1538890,1539560,1540132,1539672,1536005,1534587,1530971
"Mississippi","Sex","Male",1441947,1443236,1447516,1450102,1452993,1453002,1450671,1450463,1451002,1446874,1443640,1435815
"Missouri","Sex","Female",3055461,3058876,3065745,3072496,3079277,3086784,3094077,3101501,3111381,3119006,3127846,3133825
"Missouri","Sex","Male",2933480,2937213,2945437,2953531,2963712,2972346,2981334,2989883,3000001,3006980,3012629,3017723
"Montana","Sex","Female",492740,493472,497009,499969,504489,508360,512294,517417,523400,527421,531486,536476
"Montana","Sex","Male",496660,497258,500509,504199,509669,514297,519201,524720,530462,534397,538637,544101
"Nebraska","Sex","Female",920030,921463,926785,932548,937543,943774,949042,955739,960422,964575,967601,969739
"Nebraska","Sex","Male",906281,908128,914129,921143,928270,936181,943017,950744,956576,960937,964970,967813
"Nevada","Sex","Female",1336966,1338331,1345187,1361633,1379061,1401290,1427439,1453771,1480860,1510460,1541266,1565619
"Nevada","Sex","Male",1363717,1364152,1367927,1383037,1397895,1417645,1441092,1465784,1491237,1520265,1549505,1572640
"New Hampshire","Sex","Female",667067,667248,668935,670911,671812,674573,675463,678325,681670,683488,686814,689281
"New Hampshire","Sex","Male",649390,649559,651509,653766,655460,659684,662017,665369,668725,671576,673969,676994
"New Jersey","Sex","Female",4512313,4515662,4527643,4534588,4538378,4541269,4542433,4541709,4547537,4547534,4545698,4539322
"New Jersey","Sex","Male",4279646,4283789,4300909,4311083,4319443,4326008,4327879,4331875,4340610,4344196,4345560,4343049
"New Mexico","Sex","Female",1041771,1044296,1052390,1054817,1056816,1055167,1055341,1056516,1056754,1057418,1060654,1063860
"New Mexico","Sex","Male",1017428,1020318,1028317,1032898,1036017,1035069,1034730,1036039,1036090,1036336,1038980,1042459
"New York","Sex","Female",10000963,10010724,10056851,10088624,10110966,10122684,10121136,10104957,10080806,10053544,10012065,9946279
"New York","Sex","Male",9377154,9389232,9443070,9485738,9515522,9530747,9536185,9531434,9513043,9490554,9451066,9390497
"North Carolina","Sex","Female",4890139,4904404,4952048,5001181,5050911,5099723,5150065,5215042,5274812,5336021,5393755,5448241
"North Carolina","Sex","Male",4645623,4670182,4706865,4750629,4795806,4837572,4887153,4946760,5000946,5055337,5107629,5152582
"North Dakota","Sex","Female",332718,333653,338166,345038,353821,360130,367405,368008,369032,370951,372678,373494
"North Dakota","Sex","Male",339857,341099,347360,357189,369328,378606,388132,388106,387723,389111,391046,391815
"Ohio","Sex","Female",5904492,5905286,5906025,5904138,5914624,5925788,5931200,5937561,5949075,5956223,5962634,5960556
"Ohio","Sex","Male",5632271,5634163,5639710,5646833,5665068,5680785,5691115,5702499,5716631,5724669,5733873,5732661
"Oklahoma","Sex","Female",1894514,1899677,1914243,1928266,1944887,1957329,1972948,1982104,1984912,1990175,1999160,2009602
"Oklahoma","Sex","Male",1857068,1860337,1874581,1891054,1909004,1921858,1937570,1946039,1948690,1953313,1961516,1971181
"Oregon","Sex","Female",1935075,1938491,1956689,1969955,1982002,2002391,2028279,2065178,2091485,2109387,2126006,2139046
"Oregon","Sex","Male",1896008,1899123,1915983,1930147,1942108,1963056,1990263,2028093,2055809,2074151,2090110,2102461
"Pennsylvania","Sex","Female",6512215,6515318,6528781,6533444,6532794,6536769,6531011,6527015,6528507,6532496,6526489,6516212
"Pennsylvania","Sex","Male",6190676,6196088,6218271,6235679,6246744,6255623,6258827,6261453,6266172,6276611,6272394,6267042
"Rhode Island","Sex","Female",544313,544718,544091,544185,544135,544071,543623,543662,542884,543905,543197,542433
"Rhode Island","Sex","Male",508657,509276,509738,510708,511425,512440,513263,514154,513670,515433,514961,514692
"South Carolina","Sex","Female",2375261,2380930,2401300,2425622,2450408,2482344,2518205,2553825,2588374,2623668,2659704,2694628
"South Carolina","Sex","Male",2250097,2254916,2271355,2293405,2316061,2344514,2377801,2409206,2438728,2468034,2497998,2523412
"South Dakota","Sex","Female",406810,407748,410308,414663,418793,421923,424080,428212,432891,435837,439553,442058
"South Dakota","Sex","Male",407388,408445,413432,419196,423958,427747,430583,435481,440841,443549,447574,450659
"Tennessee","Sex","Female",3252728,3257576,3281016,3308185,3329087,3352533,3378397,3406813,3438006,3470870,3498429,3528814
"Tennessee","Sex","Male",3093553,3097942,3119282,3147567,3167856,3192084,3216957,3244464,3276742,3307310,3331896,3358020
"Texas","Sex","Female",12673528,12721747,12925831,13141745,13337529,13577164,13825817,14048837,14238026,14409326,14591903,14779708
"Texas","Sex","Male",12472544,12520150,12719673,12942375,13142117,13385928,13642714,13865227,14052998,14215238,14394891,14581051
"Utah","Sex","Female",1375572,1381267,1400748,1419345,1441058,1460537,1482384,1511904,1540562,1566159,1589845,1612139
"Utah","Sex","Male",1388319,1394146,1414049,1434801,1457715,1477790,1501242,1532337,1562978,1588994,1613538,1637740
"Vermont","Sex","Female",317523,317623,317948,317491,317406,316922,316830,316042,316438,316353,315738,315355
"Vermont","Sex","Male",308204,308263,309249,308870,309197,308771,308980,308324,308694,308449,308308,307992
"Virginia","Sex","Female",4075051,4085723,4123702,4165263,4197755,4226409,4250855,4276468,4302531,4323072,4345858,4363032
"Virginia","Sex","Male",3925995,3938281,3978735,4022193,4058106,4089021,4116448,4141183,4168480,4187848,4210784,4227531
"Washington","Sex","Female",3374834,3384508,3424466,3459044,3490939,3533298,3586587,3650092,3712553,3760779,3802546,3840014
"Washington","Sex","Male",3349706,3358501,3403013,3439555,3475313,3524233,3580700,3649869,3715398,3766014,3811478,3853598
"West Virginia","Sex","Female",939415,939948,940485,940205,938312,936287,931825,926025,918498,912019,906103,900511
"West Virginia","Sex","Male",913593,914317,916121,917241,916456,914282,911507,906410,900185,893934,889160,884276
"Wisconsin","Sex","Female",2864797,2866332,2873601,2880310,2888446,2895122,2898414,2903515,2911984,2918734,2925732,2928939
"Wisconsin","Sex","Male",2822488,2824206,2832239,2840515,2849566,2858077,2864513,2871655,2881163,2890585,2898849,2903716
"Wyoming","Sex","Female",276304,276725,278134,282190,285118,285404,286706,286291,284115,283930,284406,285437
"Wyoming","Sex","Male",287471,287806,289357,294466,297502,297755,299683,298952,295879,295124,295710,296891
